from_district,to_district,distance_km_estimated
KALABURAGI,CHIKKAMAGALURU,460.22
KALABURAGI,CHITRADURGA,348.16
KALABURAGI,DAKSHIN KANNAD,534.32
KALABURAGI,DAVANGERE,332.77
KALABURAGI,DHARWAD,283.97
KALABURAGI,GADAG,247.0
KALABURAGI,HASSAN,486.85
KALABURAGI,HAVERI,319.99
KALABURAGI,KALABURAGI,0.0
KALABURAGI,KODAGU,557.7
KALABURAGI,KOLAR,487.02
KALABURAGI,KOPPAL,231.25
KALABURAGI,MANDYA,534.67
KALABURAGI,MYSURU,560.08
KALABURAGI,RAICHUR,136.22
KALABURAGI,RAMANAGARA,515.44
KALABURAGI,SHIVAMOGGA,401.1
KALABURAGI,TUMAKURU,445.01
KALABURAGI,UDUPI,496.34
KALABURAGI,UTTAR KANNAD,402.14
KALABURAGI,VIJAYAPURA,130.4
KALABURAGI,YADGIR,71.24
KALABURAGI,VIJAYANAGAR,233.68
KODAGU,BAGALKOT,418.0
KODAGU,BALLARI,327.83
KODAGU,BELAGAVI,403.68
KODAGU,BENGALURU (RURAL),230.14
KODAGU,BENGALURU (URBAN),210.37
KODAGU,BIDAR,639.27
KODAGU,CHAMARAJNAGAR,142.41
KODAGU,CHIKBALLAPUR,243.53
KODAGU,CHIKKAMAGALURU,99.23
KODAGU,CHITRADURGA,212.58
KODAGU,DAKSHIN KANNAD,110.12
KODAGU,DAVANGERE,227.72
KODAGU,DHARWAD,346.51
KODAGU,GADAG,334.46
KODAGU,HASSAN,75.75
KODAGU,HAVERI,265.95
KODAGU,KALABURAGI,557.7
KODAGU,KODAGU,0.0
KODAGU,KOLAR,271.1
KODAGU,KOPPAL,328.46
KODAGU,MANDYA,126.07
KODAGU,MYSURU,98.92
KODAGU,RAICHUR,455.3
KODAGU,RAMANAGARA,170.64
KODAGU,SHIVAMOGGA,168.42
KODAGU,TUMAKURU,180.74
KODAGU,UDUPI,148.48
KODAGU,UTTAR KANNAD,316.4
KODAGU,VIJAYAPURA,489.92
KODAGU,YADGIR,505.7
KODAGU,VIJAYANAGAR,324.06
KOLAR,BAGALKOT,427.91
KOLAR,BALLARI,258.06
KOLAR,BELAGAVI,493.85
KOLAR,BENGALURU (RURAL),46.31
KOLAR,BENGALURU (URBAN),60.74
KOLAR,BIDAR,534.9
KOLAR,CHAMARAJNAGAR,186.55
KOLAR,CHIKBALLAPUR,54.44
KOLAR,CHIKKAMAGALURU,255.96
KOLAR,CHITRADURGA,222.84
KOLAR,DAKSHIN KANNAD,355.47
KOLAR,DAVANGERE,280.44
KOLAR,DHARWAD,424.07
KOLAR,GADAG,371.73
KOLAR,HASSAN,220.24
KOLAR,HAVERI,347.08
KOLAR,KALABURAGI,487.02
KOLAR,KODAGU,271.1
KOLAR,KOLAR,0.0
KOLAR,KOPPAL,325.44
KOLAR,MANDYA,150.24
KOLAR,MYSURU,186.67
KOLAR,RAICHUR,352.33
KOLAR,RAMANAGARA,103.05
KOLAR,SHIVAMOGGA,290.63
KOLAR,TUMAKURU,111.83
KOLAR,UDUPI,367.35
KOLAR,UTTAR KANNAD,469.71
KOLAR,VIJAYAPURA,486.06
KOLAR,YADGIR,417.43
KOLAR,VIJAYANAGAR,302.27
KOPPAL,BAGALKOT,104.63
KOPPAL,BALLARI,85.51
KOPPAL,BELAGAVI,185.96
KOPPAL,BENGALURU (RURAL),291.9
KOPPAL,BENGALURU (URBAN),306.68
KOPPAL,BIDAR,319.65
KOPPAL,CHAMARAJNAGAR,390.64
KOPPAL,CHIKBALLAPUR,272.34
KOPPAL,CHIKKAMAGALURU,229.93
